CI_0004216,CPI (overall index)
CI_0004317,"09.5.3/4 Misc. printed matter, stationery, drawing materials"
CI_0004318,09.6.0 Package Holidays
CI_0004319,10.0.0 Education
CI_0004320,"11.1.1 Restaurants, cafes"
CI_0004321,11.1.2 Canteens
CI_0004322,11.2.0 Accommodation Services
CI_0004323,12.1.1 Hairdressing and personal grooming establishments
CI_0004324,12.1.2/3 Appliances and products for personal care
CI_0004325,"12.3.1 Jewellery, clocks and watches"
CI_0004326,12.3.2 Other personal effects
CI_0004327,12.5.2 House contents insurance
CI_0004328,12.5.4 Transport insurance
CI_0004329,12.6.2 Other financial services (nec)
CI_0004330,12.7.0 Other Services Not Elsewhere covered
CI_0004331,01 Food and non-alcoholic beverages
CI_0004332,02 Alcoholic beverages and tobacco
CI_0004333,03 Clothing and footwear
CI_0004334,"04 Housing, water, electricity, gas and other fuels"
CI_0004335,"05 Furniture, household equipment and maintenance"
CI_0004336,06 Health
CI_0004337,07 Transport
CI_0004338,08 Communication
CI_0004339,09 Recreation and culture
CI_0004340,10 Education
CI_0004341,11 Restaurants and hotels
CI_0004342,12 Miscellaneous goods and services
CI_0004354,06.2 Out-patient services
CI_0004355,06.3 Hospital services
CI_0004356,9.2 Other major durables for recreation and culture
CI_0004357,12.4 Social protection
CI_0004358,"06.2.1/3 Medical services, paramedical services"
CI_0004359,06.2.2 Dental services
CI_0004360,06.3.0 Hospital Services
CI_0004361,09.2.1/2 Major durables for in/outdoor recreation
CI_0004362,12.4.0 Social Protection
CI_0004363,12.5.3 Health insurance
